,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
7998,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MINERACÃO RIO DO NORTE S/A, EM PORTO TROMBETAS LIMITADA -  CREDNORTE",4998845.0,b3S,I,2.0,ORIXIMINA,PA,06/2018,Não,Sim,Sim,15.170,NI,01/2017,S5,
7999,COOPERATIVA DE CRÉDITO DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO LTDA. - MAGICREDI-RJ,5040680.0,b3S,I,2.0,RIO DE JANEIRO,RJ,06/2018,Não,Sim,Sim,22.457,NI,01/2017,S5,
8000,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA,5048575.0,b3S,I,2.0,SAO GONCALO,RJ,06/2018,Não,Sim,Sim,5.042,NI,01/2017,S5,
8001,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CORONEL MARTINS-CRESOL PEDRA BRANCA,5070112.0,b3S,I,2.0,CORONEL MARTINS,SC,06/2018,Não,Sim,Sim,34.523,NI,01/2017,S5,
8002,COOPERATIVA DE CRÉDITO E SERVIÇOS FINANCEIROS DE CURITIBA E REGIÃO METROPOLITANA,5097757.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,22.400,NI,01/2017,S5,
8003,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DE CANGUÇU - CRESOL SUL,5132104.0,b3S,I,2.0,CANGUCU,RS,06/2018,Não,Sim,Sim,16.974,NI,01/2017,S5,
8004,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA VALE DO COTEGIPE - CRESOL VALE DO COTEGIPE,5135542.0,b3S,I,2.0,SALTO DO LONTRA,PR,06/2018,Não,Sim,Sim,84.851,NI,01/2017,S5,
8005,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA   SICOOB CREDILESTE,5158093.0,b3S,I,2.0,CARATINGA,MG,06/2018,Não,Sim,Sim,131.059,NI,01/2017,S5,
8006,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CAMDA-COCREALPA - CREDI-CAMDA,5165103.0,b3S,I,2.0,ADAMANTINA,SP,06/2018,Não,Sim,Sim,4.352,NI,01/2017,S5,
8007,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO JAMARI - SICOOB VALE DO JAMARI,5203605.0,b3S,I,2.0,BURITIS,RO,06/2018,Não,Sim,Sim,286.059,NI,01/2017,S5,
8008,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MARCELINO RAMOS-CRESOL MARCELINO RAMOS,5211129.0,b3S,I,2.0,MARCELINO RAMOS,RS,06/2018,Não,Sim,Sim,20.873,NI,01/2017,S5,
8009,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SANTA MARIA-CRESOL SANTA MARIA,5220232.0,b3S,I,2.0,SANTA MARIA,RS,06/2018,Não,Sim,Sim,17.149,NI,01/2017,S5,
8010,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI,5220243.0,b3S,I,2.0,SARANDI,RS,06/2018,Não,Sim,Sim,36.296,NI,01/2017,S5,
8011,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PIRACANJUBA LTDA,5222094.0,b3S,I,2.0,PIRACANJUBA,GO,06/2018,Não,Sim,Sim,39.933,NI,01/2017,S5,
8012,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES - CRESOL UNIÃO DOS VALES,5231945.0,b3S,I,2.0,IVAIPORA,PR,06/2018,Não,Sim,Sim,75.484,NI,01/2017,S5,
8013,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GETULIO VARGAS-CRESOL GETÚLIO VARGAS,5241145.0,b3S,I,2.0,GETULIO VARGAS,RS,06/2018,Não,Sim,Sim,55.433,NI,01/2017,S5,
8014,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT,5241619.0,b3S,I,2.0,PRIMAVERA DO LESTE,MT,06/2018,Não,Sim,Sim,146.422,NI,01/2017,S5,
8015,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CERRADO MATOGROSSENSE - SICOOB CERRADO MT,5247312.0,b3S,I,2.0,RONDONOPOLIS,MT,06/2018,Não,Sim,Sim,89.598,NI,01/2017,S5,
8016,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE FORMOSA DO SUL-CRESOL FORMOSA,5269976.0,b3S,I,2.0,FORMOSA DO SUL,SC,06/2018,Não,Sim,Sim,35.452,NI,01/2017,S5,
8017,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA UNIÃO - CRESOL UNIÃO,5276770.0,b3S,I,2.0,SANTA IZABEL DO OESTE,PR,06/2018,Não,Sim,Sim,212.627,NI,01/2017,S5,
8018,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA SUL PARANAENSE - CRESOL SUL PARANAENSE,5277312.0,b3S,I,2.0,CRUZ MACHADO,PR,06/2018,Não,Sim,Sim,86.788,NI,01/2017,S5,
8019,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED,5292849.0,b3S,I,2.0,GUARULHOS,SP,06/2018,Não,Sim,Sim,3.150,NI,01/2017,S5,
8020,COOPERASA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONARIOS DAS EMPRESAS DA AGUIA PARTICIPAÇÕES,5296712.0,b3S,I,2.0,PONTA GROSSA,PR,06/2018,Não,Sim,Sim,3.751,NI,01/2017,S5,
8021,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA LESTE PARANAENSE - CRESOL LESTE PARANAENSE,5326643.0,b3S,I,2.0,CERRO AZUL,PR,06/2018,Não,Sim,Sim,45.652,NI,01/2017,S5,
8022,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA GKN DO BRASIL LTDA,5331882.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,2.594,NI,01/2017,S5,
8023,COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL,5392810.0,b3S,I,2.0,TOLEDO,PR,06/2018,Não,Sim,Sim,433.603,NI,01/2017,S5,
8024,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GUARACIABA-CRESOL GUARACIABA,5400634.0,b3S,I,2.0,GUARACIABA,SC,06/2018,Não,Sim,Sim,24.232,NI,01/2017,S5,
8025,COOPERATIVA DE ECONOMIA E CREDITO COM INTERACAO SOLIDARIA DE JAGUARUNA - CRESOL JAGUARUNA,5410056.0,b3S,I,2.0,JAGUARUNA,SC,06/2018,Não,Sim,Sim,40.143,NI,01/2017,S5,
8026,COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS PROFESSORES ESTADUAIS DA REGIÃO METROPOLITANA DE PORTO ALEGRE - EDUCREDI,5419025.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,1.708,NI,01/2017,S5,
8027,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS NAS INDUSTRIAS QUIMICAS, FARMACEUTICAS E SIMILARES DA REGIAO METROPOLITANA DO RIO DE JANEIRO LTDA",5424088.0,b3S,I,2.0,SAO GONCALO,RJ,06/2018,Não,Sim,Sim,1.274,NI,01/2017,S5,
8028,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA CONCÓRDIA - CRESOL CONCÓRDIA,5425526.0,b3S,I,2.0,CONCORDIA,SC,06/2018,Não,Sim,Sim,48.021,NI,01/2017,S5,
8029,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE IPUMIRIM - CRESOL IPUMIRIM,5427501.0,b3S,I,2.0,IPUMIRIM,SC,06/2018,Não,Sim,Sim,24.353,NI,01/2017,S5,
8030,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS,5428587.0,b3S,I,2.0,OLIVEIRA DOS BREJINHOS,BA,06/2018,Não,Sim,Sim,2.108,NI,01/2017,S5,
8031,COOPERATIVA DE CRÉDITO RURAL DE RIO BRANCO LTDA.,5439425.0,b3S,I,2.0,RIO BRANCO,AC,06/2018,Não,Sim,Sim,74.451,NI,01/2017,S5,
8032,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE PORTO XAVIER – CRESOL PORTO XAVIER,5442759.0,b3S,I,2.0,PORTO XAVIER,RS,06/2018,Não,Sim,Sim,28.934,NI,01/2017,S5,
8033,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL DE PORTO ALEGRE,5460750.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,10.444,NI,01/2017,S5,
8034,COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER,5463934.0,b3S,I,2.0,VOTUPORANGA,SP,06/2018,Não,Sim,Sim,44.968,NI,01/2017,S5,
8035,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE TERESINA E MICRORREGIÕES DE CAMPO MAIOR, MÉDIO PARNAÍBA, ALTO MÉDIO GURGUEIA, FLORIANO, PICOS E LITORAL PIAUIENSE – SICOOB PIAUÍ",5477038.0,b3S,I,2.0,TERESINA,PI,06/2018,Não,Sim,Sim,27.759,NI,01/2017,S5,
8036,COOPERATIVA DE CRÉDITO RURAL E SERVIDORES PÚBLICOS DE MINEIROS GOIÁS,5491616.0,b3S,I,2.0,MINEIROS,GO,06/2018,Não,Sim,Sim,3.631,NI,01/2017,S5,
8037,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ALFREDO WAGNER - CRESOL ALFREDO WAGNER,5494591.0,b3S,I,2.0,ALFREDO WAGNER,SC,06/2018,Não,Sim,Sim,41.783,NI,01/2017,S5,
8038,"SICREDI COOMAMP - COOPERATIVA DE CRÉDITO DOS MEMBROS DE INSTITUIÇÕES PÚBLICAS DAS CARREIRAS JURÍDICAS E DOS SERVIDORES PÚBLICOS FEDERAIS, ESTADUAIS E MUNICIPAIS EM SÃO LUÍS/MA E MUNICÍPIOS CIRCUNVIZIN",5545390.0,b3S,I,2.0,SAO LUIS,MA,06/2018,Não,Sim,Sim,33.739,NI,01/2017,S5,
8039,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO JAL LTDA.,5548335.0,b3S,I,2.0,SAO JOAO DE MERITI,RJ,06/2018,Não,Sim,Sim,22.005,NI,01/2017,S5,
8040,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MANAUS   SICOOB MANAUS,5580585.0,b3S,I,2.0,MANAUS,AM,06/2018,Não,Sim,Sim,28.561,NI,01/2017,S5,
8041,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ,5582619.0,b3S,I,2.0,LONDRINA,PR,06/2018,Não,Sim,Sim,756.766,NI,01/2017,S5,
8042,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SERVIDORES PÚBLICOS ATIVOS, INATIVOS E PENSIONISTAS DA ADMINISTRAÇÃO DIRETA, INDIRETA E ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE SUL - COOPSERGS",5591437.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,6.127,NI,01/2017,S5,
8043,COOPERATIVA DE CRÉDITO E INVESTIMENTO D'OESTE DE RONDÔNIA,5597773.0,b3S,I,2.0,NOVA BRASILANDIA,RO,06/2018,Não,Sim,Sim,31.792,NI,01/2017,S5,
8044,COOPERATIVA DE CRÉDITO RURAL NORTE DO ITAPICURU,5644916.0,b3S,I,2.0,JAGUARARI,BA,06/2018,Não,Sim,Sim,1.368,NI,01/2017,S5,
8045,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO SEBRAE BAHIA - COOPSOL,5658367.0,b3S,I,2.0,SALVADOR,BA,06/2018,Não,Sim,Sim,1.655,NI,01/2017,S5,
8046,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE LENÇÓIS PAULISTA - COOPERSERV,5667301.0,b3S,I,2.0,LENCOIS PAULISTA,SP,06/2018,Não,Sim,Sim,21.187,NI,01/2017,S5,
8047,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DO MINISTÉRIO DA SAÚDE EM MACEIÓ - SAUDECRED,5728016.0,b3S,I,2.0,MACEIO,AL,06/2018,Não,Sim,Sim,3.293,NI,01/2017,S5,
8048,COOPERATIVA DE CRÉDITO DOS METALÚRGICOS DO ABC - CREDABC,5740092.0,b3S,I,2.0,SAO BERNARDO DO CAMPO,SP,06/2018,Não,Sim,Sim,5.085,NI,01/2017,S5,
8049,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ITATIBA DO SUL - CRESOL ITATIBA DO SUL,5745533.0,b3S,I,2.0,ITATIBA DO SUL,RS,06/2018,Não,Sim,Sim,15.577,NI,01/2017,S5,
8050,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE DEFESA SOCIAL DO ESTADO DE MINAS GERAIS LTDA. - COOPSESP,5746715.0,b3S,I,2.0,BELO HORIZONTE,MG,06/2018,Não,Sim,Sim,7.153,NI,01/2017,S5,
8051,"COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E COND EDIFÍCIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS) - CREDFISP LTDA.",5747018.0,b3S,I,2.0,CAMPINA GRANDE,PB,06/2018,Não,Sim,Sim,2.078,NI,01/2017,S5,
8052,COOPERATIVA DE CRÉDITO DO NOROESTE DO PARANÁ - SICOOB NOROESTE DO PARANÁ,5772229.0,b3S,I,2.0,PARANAVAI,PR,06/2018,Não,Sim,Sim,204.775,NI,01/2017,S5,
8053,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP,5790149.0,b3C,I,2.0,VITORIA,ES,06/2018,Não,Sim,Sim,3.259,NI,01/2017,S5,
8054,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,5841967.0,b3S,I,2.0,SAPIRANGA,RS,06/2018,Não,Sim,Sim,7.399,NI,01/2017,S5,
8055,COOPERATIVA DE CRÉDITO RURAL DOS PRODUTORES DA REGIÃO DE IRECÊ - CREDIRURAL,5853210.0,b3S,I,2.0,IRECE,BA,06/2018,Não,Sim,Sim,545,NI,01/2017,S5,
8056,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DO DISTRITO FEDERAL LTDA - SICOOB EMPRESARIAL",5856736.0,b3S,I,2.0,BRASILIA,DF,06/2018,Não,Sim,Sim,109.659,NI,01/2017,S5,
8057,COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA,5861932.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,234.050,NI,01/2017,S5,
8058,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL  PLANALTO SERRA,5863726.0,b3S,I,2.0,SANANDUVA,RS,06/2018,Não,Sim,Sim,202.103,NI,01/2017,S5,
8059,COOPERATIVA CENTRAL DE CREDITO RURAL HORIZONTES NOVOS - CREHNOR CENTRAL,5879577.0,b3C,I,2.0,SARANDI,RS,06/2018,Não,Sim,Sim,2.466,NI,01/2017,S5,
8060,COOPERATIVA DE CRÉDITO SUL - SICOOB SUL,5888589.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,562.779,NI,01/2017,S5,
8061,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE BEBEDOURO - COOCRESB.,5969937.0,b3S,I,2.0,BEBEDOURO,SP,06/2018,Não,Sim,Sim,3.773,NI,01/2017,S5,
8062,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DO CREA DOS ESTADOS DE SANTA CATARINA E PARANÁ - CREDCREA,5979692.0,b3S,I,2.0,FLORIANOPOLIS,SC,06/2018,Não,Sim,Sim,252.950,NI,01/2017,S5,
8063,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE HUMAITÁ - CRESOL HUMAITÁ,5983995.0,b3S,I,2.0,HUMAITA,RS,06/2018,Não,Sim,Sim,46.790,NI,01/2017,S5,
8064,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTO CRISTO - CRESOL SANTO CRISTO,6031727.0,b3S,I,2.0,SANTO CRISTO,RS,06/2018,Não,Sim,Sim,103.622,NI,01/2017,S5,
8065,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA RICLAN,6077760.0,b3S,I,2.0,RIO CLARO,SP,06/2018,Não,Sim,Sim,6.043,NI,01/2017,S5,
8066,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR",6078926.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,38.627,NI,01/2017,S5,
8067,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CÂNDIDO DE ABREU - CRESOL CÂNDIDO DE ABREU,6100881.0,b3S,I,2.0,CANDIDO DE ABREU,PR,06/2018,Não,Sim,Sim,63.790,NI,01/2017,S5,
8068,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PRUDENTÓPOLIS - CRESOL PRUDENTÓPOLIS,6126780.0,b3S,I,2.0,PRUDENTOPOLIS,PR,06/2018,Não,Sim,Sim,38.871,NI,01/2017,S5,
8069,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBIRAIARAS - CRESOL NORDESTE,6139650.0,b3S,I,2.0,IBIRAIARAS,RS,06/2018,Não,Sim,Sim,56.453,NI,01/2017,S5,
8070,COOPERATIVA DE CRÉDITO SICOOB ALIANÇA,6174009.0,b3S,I,2.0,APUCARANA,PR,06/2018,Não,Sim,Sim,247.944,NI,01/2017,S5,
8071,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE MONTES CLAROS LTDA. - SICOOB CREDINOSSO.,6324872.0,b3S,I,2.0,MONTES CLAROS,MG,06/2018,Não,Sim,Sim,23.792,NI,01/2017,S5,
8072,"COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS DO PAPEL, PAPELÃO E CORTIÇA DE OTACÍLIO COSTA, LAGES E CORREA PINTO - PAPELCREDI",6369729.0,b3S,I,2.0,OTACILIO COSTA,SC,06/2018,Não,Sim,Sim,2.370,NI,01/2017,S5,
8073,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,6910457.0,b3S,I,2.0,SANTA CRUZ DAS PALMEIRAS,SP,06/2018,Não,Sim,Sim,100.279,NI,01/2017,S5,
8074,COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SISTEMA FINANCEIRO DE CURITIBA E REGIÃO - COOPCREFI,6942423.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,1.535,NI,01/2017,S5,
8075,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DA REGIÃO METROPOLITANA DE PORTO ALEGRE - COOPESA",6975532.0,b3S,I,2.0,PORTO ALEGRE,RS,06/2018,Não,Sim,Sim,1.574,NI,01/2017,S5,
8076,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ARAPONGA - CRESOL ARAPONGA,7016503.0,b3S,I,2.0,ARAPONGA,MG,06/2018,Não,Sim,Sim,16.099,NI,01/2017,S5,
8077,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE UMUARAMA - SICOOB ARENITO,7026923.0,b3S,I,2.0,UMUARAMA,PR,06/2018,Não,Sim,Sim,177.584,NI,01/2017,S5,
8078,COOPERATIVA DE CRÉDITO MÚTUO DOS PRAÇAS E OFICIAIS DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO - COOPERACS- SP,7030145.0,b3S,I,2.0,SAO PAULO,SP,06/2018,Não,Sim,Sim,4.392,NI,01/2017,S5,
8079,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO EMPREENDEDORES - SICREDI EMPREENDEDORES PR",7070495.0,b3S,I,2.0,CURITIBA,PR,06/2018,Não,Sim,Sim,45.478,NI,01/2017,S5,
8080,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MARECHAL CÂNDIDO RONDON E REGIÃO - SICOOB MARECHAL,7097064.0,b3S,I,2.0,MARECHAL CANDIDO RONDON,PR,06/2018,Não,Sim,Sim,79.749,NI,01/2017,S5,
8081,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,7108146.0,b3S,I,2.0,CRIXAS,GO,06/2018,Não,Sim,Sim,32.325,NI,01/2017,S5,
8082,COOPERATIVA DE CRÉDITO DO IGUAÇU INTEGRADO - SICOOB INTEGRADO,7122321.0,b3S,I,2.0,PATO BRANCO,PR,06/2018,Não,Sim,Sim,252.206,NI,01/2017,S5,
8083,COOPERATIVA DE CRÉDITO HORIZONTE - SICOOB HORIZONTE,7194313.0,b3S,I,2.0,ARAPONGAS,PR,06/2018,Não,Sim,Sim,90.709,NI,01/2017,S5,
8084,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP",7206072.0,b3S,I,2.0,ARAPOTI,PR,06/2018,Não,Sim,Sim,360.488,NI,01/2017,S5,
8085,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DA ZONA DA MATA - CRESOL ZONA DA MATA,7208637.0,b3S,I,2.0,TOMBOS,MG,06/2018,Não,Sim,Sim,51.631,NI,01/2017,S5,
8086,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE APIÚNA - CRESOL APIÚNA,7215632.0,b3S,I,2.0,APIUNA,SC,06/2018,Não,Sim,Sim,29.393,NI,01/2017,S5,
8087,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PAIM FILHO - CRESOL PAIM FILHO,7252614.0,b3S,I,2.0,PAIM FILHO,RS,06/2018,Não,Sim,Sim,55.289,NI,01/2017,S5,
8088,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTA LÚCIA - CRESOL SANTA LÚCIA,7268499.0,b3S,I,2.0,SANTA LUCIA,PR,06/2018,Não,Sim,Sim,64.906,NI,01/2017,S5,
8089,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO MÉDIO OESTE - SICOOB MÉDIO OESTE,7318874.0,b3S,I,2.0,ASSIS CHATEAUBRIAND,PR,06/2018,Não,Sim,Sim,109.528,NI,01/2017,S5,
8090,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE VITOR MEIRELES - CRESOL VITOR MEIRELES,7320890.0,b3S,I,2.0,VITOR MEIRELES,SC,06/2018,Não,Sim,Sim,81.090,NI,01/2017,S5,
8091,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PINHALZINHO - CRESOL PINHALZINHO,7412987.0,b3S,I,2.0,PINHALZINHO,SC,06/2018,Não,Sim,Sim,41.939,NI,01/2017,S5,
8092,COOPERATIVA DE CRÉDITO DOS MEDICOS E DEMAIS PROFISSIONAIS DE NIVEL SUPERIOR DA AREA DE SAUDE DE SALVADOR E REGIAO METROPOLITANA LTDA - SICOOB CREDMED,7440317.0,b3S,I,2.0,SALVADOR,BA,06/2018,Não,Sim,Sim,37.372,NI,01/2017,S5,
8093,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE WITMARSUM - CRESOL WITMARSUM,7465539.0,b3S,I,2.0,WITMARSUM,SC,06/2018,Não,Sim,Sim,52.867,NI,01/2017,S5,
8094,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS INDUSTRIAIS VINCULADOS À FIEMG LTDA - SICOOB CREDIFIEMG,7469260.0,b3S,I,2.0,BELO HORIZONTE,MG,06/2018,Não,Sim,Sim,136.226,NI,01/2017,S5,
8095,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO ESPÍRITO SANTO - CRESOL ESPÍRITO SANTO,7475376.0,b3S,I,2.0,COLATINA,ES,06/2018,Não,Sim,Sim,51.668,NI,01/2017,S5,
8096,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA ÁREA DE SAÚDE, AFINS E EMPRESÁRIOS VINCULADOS À ACCI DE ERECHIM-RS-CREDISUL",7494300.0,b3S,I,2.0,ERECHIM,RS,06/2018,Não,Sim,Sim,18.332,NI,01/2017,S5,
8097,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO OESTE GOIANO LTDA.,7502031.0,b3S,I,2.0,GOIANESIA,GO,06/2018,Não,Sim,Sim,96.624,NI,01/2017,S5,
8098,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO ALTO VALE - CRESOL ALTO VALE,7507647.0,b3S,I,2.0,ITUPORANGA,SC,06/2018,Não,Sim,Sim,65.853,NI,01/2017,S5,
8099,COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE XANXERÊ - CRESOL XANXERÊ,7509426.0,b3S,I,2.0,XANXERE,SC,06/2018,Não,Sim,Sim,29.171,NI,01/2017,S5,
8100,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁGUAS MORNAS - CRESOL ÁGUAS MORNAS,7512780.0,b3S,I,2.0,AGUAS MORNAS,SC,06/2018,Não,Sim,Sim,143.948,NI,01/2017,S5,
